,film,number,abstract,starring,name,subjects,cinematography,director,gross,producer,language
29,Jason Bourne (film),43844230,"Jason Bourne is a 2016 American action-thriller film directed by Paul Greengrass and written by Greengrass and Christopher Rouse. It is the fifth installment of the Bourne film series and a direct sequel to The Bourne Ultimatum (2007). Matt Damon reprises his role as the main character, former CIA assassin Jason Bourne. In addition, the film stars Tommy Lee Jones, Alicia Vikander, Julia Stiles, Vincent Cassel, Riz Ahmed, Ato Essandoh and Scott Shepherd.",-Alicia Vikander-Julia Stiles-Matt Damon-Riz Ahmed-Tommy Lee Jones-Vincent Cassel,Original Motion Picture Soundtrack,"2016 action thriller films-2016 films-American action thriller films-American films-American films about revenge-American sequel films-Bourne (film series)-Films about United States Army Special Forces-Films directed by Paul Greengrass-Films produced by Frank Marshall-Films produced by Matt Damon-Films scored by David Buckley-Films scored by John Powell-Films set in 1999-Films set in 2016-Films set in Athens-Films set in Berlin-Films set in Greece-Films set in London-Films set in Reykjavík-Films set in Rome-Films set in the Las Vegas Valley-Films shot at Warner Bros. Studios, Leavesden-Films shot in Berlin-Films shot in Greece-Films shot in London-Films shot in Washington, D.C.-Films shot in the Canary Islands-Films shot in the Las Vegas Valley-IMAX films-Malware in fiction-Perfect World Pictures films-The Kennedy/Marshall Company films-Universal Pictures films",Barry Ackroyd,Paul Greengrass,4.155E8,Paul Greengrass,English
30,The Girl in the Spider's Web (film),48465449,"The Girl in the Spider's Web is a 2018 action-thriller film directed by Fede Álvarez and written by Jay Basu, Álvarez, and Steven Knight, and based on the 2015 novel of the same name by David Lagercrantz, which in turn is based on characters in the Millennium book series by Stieg Larsson. The film acts as a sequel to David Fincher's The Girl with the Dragon Tattoo. It stars Claire Foy in the role of Lisbeth Salander and follows Salander as she battles against a mysterious notorious organization, the Spiders, who seek world dominance. Sverrir Gudnason, Lakeith Stanfield, Sylvia Hoeks, and Stephen Merchant also appear in the film.",-Claire Foy-LaKeith Stanfield-Stephen Merchant-Sverrir Gudnason-Sylvia Hoeks,The Girl in the Spider's Web,American crime action films-Films produced by Scott Rudin,na,Fede Álvarez,3.52E7,Fede Álvarez,English
31,Taken 3,38964482,"Taken 3 (sometimes stylized as Tak3n) is a 2014 English-language French action-thriller film directed by Olivier Megaton and written by Luc Besson and Robert Mark Kamen. It is the third and final installment in the Taken trilogy. A co-production between France, Spain and the United States, the film stars Liam Neeson, Forest Whitaker, Maggie Grace and Famke Janssen.",Dougray Scott-Famke Janssen-Forest Whitaker-Leland Orser-Liam Neeson-Maggie Grace-Sam Spruell,Taken 3,2014 action thriller films-2014 films-20th Century Fox films-American action thriller films-American films-American films about revenge-American sequel films-English-language French films-English-language films-Films produced by Luc Besson-Films set in Afghanistan-Films set in Los Angeles-Films shot in Los Angeles-French films-French films about revenge-IMAX films-Spanish sequel films,na,Olivier Megaton,3.264E8,Olivier Megaton,Russian
32,The Rage (1997 film),25829160,The Rage is a 1997 Canadian-American action-thriller film directed by Sidney J. Furie.,David Carradine-Gary Busey-Kristen Cloke-Lorenzo Lamas-Roy Scheider,The Rage,1997 action thriller films-1997 films-American action thriller films-American films-Films directed by Sidney J. Furie,Donald M. Morgan,Sidney J. Furie,na,Sidney J. Furie,English
33,Battle Royale (film),304692,"Battle Royale (バトル・ロワイアル, Batoru Rowaiaru) is a 2000 Japanese action-thriller film directed by Kinji Fukasaku, with a screenplay written by Kenta Fukasaku, based on the 1999 novel by Koushun Takami. Starring Tatsuya Fujiwara, Aki Maeda, Tarō Yamamoto, and Takeshi Kitano, the film follows a group of junior high-school students that are forced to fight to the death by the Japanese totalitarian government. The film drew controversy, and was banned or excluded from distribution in several countries; Toei Company refused to sell the film to any United States distributor for over a decade due to concerns about potential controversy and lawsuits, until Anchor Bay Entertainment eventually acquired the film in 2010 for a direct-to-video release.",-Aki Maeda-Chiaki Kuriyama-Kou Shibasaki-Masanobu Andō-Takeshi Kitano-Tarō Yamamoto-Tatsuya Fujiwara,Battle Royale,2000 action thriller films-2000 films-2000s dystopian films-Battle Royale (franchise)-Battle royale-Films about death games-Films based on Japanese novels-Films based on science fiction novels-Films based on thriller novels-Films directed by Kinji Fukasaku-Films scored by Masamichi Amano-Films set on fictional islands-Films set on uninhabited islands-Films shot in Tokyo-Girls with guns films-Japanese-language films-Japanese action thriller films-Japanese films-Obscenity controversies in film-Splatter films-Toei Company films,Katsumi Yanagishima,Kinji Fukasaku,3.06E7,Kinji Fukasaku,Japanese
34,A Good Day to Die Hard,34228306,"A Good Day to Die Hard is a 2013 American action-thriller film and the fifth installment in the Die Hard film series. The film was directed by John Moore and written by Skip Woods, and stars Bruce Willis as John McClane. The main plot finds McClane travelling to Russia to get his estranged son, Jack, an undercover CIA agent, out of prison. He is soon caught in the crossfire of a global terrorist plot. Alongside Willis, the film also stars Jai Courtney, Cole Hauser, Yulia Snigir and Sebastian Koch.",-Amaury Nolasco-Bruce Willis-Cole Hauser-Jai Courtney-Rasha Bukvić-Sebastian Koch-Sergei Kolesnikov-Yulia Snigir,A Good Day to Die Hard: Original Motion Picture Soundtrack,"2013 action thriller films-2013 films-20th Century Fox films-American action thriller films-American films-American sequel films-Die Hard-English-language films-Films about families-Films about nuclear war and weapons-Films about terrorism in Europe-Films about the Central Intelligence Agency-Films directed by John Moore-Films produced by Wyck Godfrey-Films scored by Marco Beltrami-Films set in Moscow-Films set in New York City-Films set in Ukraine-Films set in Washington, D.C.-Films shot in Belgrade-Films shot in Budapest-Films with screenplays by Skip Woods-IMAX films-Russian-language films-TSG Entertainment films",Jonathan Sela,John Moore (director),3.047E8,John Moore (director),English
35,Jason Bourne (film),43844230,"Jason Bourne is a 2016 American action-thriller film directed by Paul Greengrass and written by Greengrass and Christopher Rouse. It is the fifth installment of the Bourne film series and a direct sequel to The Bourne Ultimatum (2007). Matt Damon reprises his role as the main character, former CIA assassin Jason Bourne. In addition, the film stars Tommy Lee Jones, Alicia Vikander, Julia Stiles, Vincent Cassel, Riz Ahmed, Ato Essandoh and Scott Shepherd.",-Alicia Vikander-Julia Stiles-Matt Damon-Riz Ahmed-Tommy Lee Jones-Vincent Cassel,Jason Bourne,"2016 action thriller films-2016 films-American action thriller films-American films-American films about revenge-American sequel films-Bourne (film series)-Films about United States Army Special Forces-Films directed by Paul Greengrass-Films produced by Frank Marshall-Films produced by Matt Damon-Films scored by David Buckley-Films scored by John Powell-Films set in 1999-Films set in 2016-Films set in Athens-Films set in Berlin-Films set in Greece-Films set in London-Films set in Reykjavík-Films set in Rome-Films set in the Las Vegas Valley-Films shot at Warner Bros. Studios, Leavesden-Films shot in Berlin-Films shot in Greece-Films shot in London-Films shot in Washington, D.C.-Films shot in the Canary Islands-Films shot in the Las Vegas Valley-IMAX films-Malware in fiction-Perfect World Pictures films-The Kennedy/Marshall Company films-Universal Pictures films",Barry Ackroyd,Paul Greengrass,4.155E8,Paul Greengrass,English
36,What Happened to Monday,47404924,"What Happened to Monday (known in several territories as Seven Sisters) is a 2017 dystopian science-fiction action-thriller film directed by Tommy Wirkola and stars Noomi Rapace, Glenn Close and Willem Dafoe. It was written by Max Botkin and Kerry Williamson. The plot follows a family of identical septuplets (seven genetically identical girls) who live in a world where due to overpopulation each household is allowed only one child. When one of the sisters goes missing, the others must find her while remaining unknown to the outside world.",-Cassie Clare-Christian Rubeck-Glenn Close-Marwan Kenzari-Noomi Rapace-Pål Sverre Hagen-Tomiwa Edun-Willem Dafoe,What Happened to Monday,2010s science fiction thriller films-2017 films-2017 science fiction action films-American dystopian films-American films-American science fiction action films-American science fiction thriller films-Belgian action films-Belgian films-Belgian science fiction thriller films-British films-British science fiction action films-British science fiction thriller films-English-language films-Films directed by Tommy Wirkola-Films set in 2073-Films set in the 2070s-Films shot in Bucharest-Films shot in Romania-French films-French science fiction action films-French science fiction thriller films-Overpopulation fiction,na,Tommy Wirkola,2.8E7,Tommy Wirkola,English
37,Ambulance (film),65818039,"Ambulance is an upcoming American action-thriller film directed and produced by Michael Bay. Written by Chris Fedak, the film is based on the 2005 Danish film of the same name by Laurits Munch-Petersen, and stars Jake Gyllenhaal and Yahya Abdul-Mateen II as two bank robbers who steal an ambulance occupied by a paramedic (Eiza González), and a patient in critical condition. The film is scheduled to be theatrically released by Universal Pictures on February 18, 2022.",-Eiza González-Jake Gyllenhaal-Yahya Abdul-Mateen II,Ambulance,2022 action thriller films-American action thriller films-American films-American remakes of Danish films-Films about bank robbery-Films directed by Michael Bay-Films impacted by the COVID-19 pandemic-Films produced by James Vanderbilt-Films produced by Michael Bay-Films scored by Lorne Balfe-Films set in Los Angeles-Films shot in Los Angeles-Universal Pictures films-Upcoming films,na,Michael Bay,na,Michael Bay,English
38,Kaante,1792743,"Kaante (lit. 'Thorns') is a 2002 Indian Hindi-language action-thriller film directed by Sanjay Gupta, written by Milap Zaveri, and starring an ensemble cast including Amitabh Bachchan, Sanjay Dutt, Sunil Shetty, Lucky Ali, Mahesh Manjrekar, Kumar Gaurav, Namrata Singh Gujral, Rati Agnihotri, Rohit Roy, Isha Koppikar and Malaika Arora. Set in Los Angeles, the film follows six Indian men who are detained without evidence by the police. Feeling wronged and vengeful, they team up to plot a bank heist that would leave the Los Angeles Police Department penniless. However, once things go out of hand, they start suspecting each other's identities, resulting in violence and chaos.",Amitabh Bachchan-Isha Koppikar-Kumar Gaurav-Lucky Ali-Mahesh Manjrekar-Malaika Arora-Namrata Singh Gujral-Rati Agnihotri-Rohit Roy-Sanjay Dutt-Sunil Shetty,Kaante,2002 films-Fictional portrayals of the Los Angeles Police Department-Films directed by Sanjay Gupta-Films featuring an item number-Films scored by Anand Raj Anand-Films scored by Gregor Narholz-Films scored by Vishal–Shekhar-Films set in Los Angeles-Films set in the United States-Films shot in Los Angeles-Indian action thriller films-Indian films-Indian heist films-Indian remakes of American films,na,Sanjay Gupta (director),na,Sanjay Gupta (director),Hindi
39,Thunive Thunai,54203602,"Thunive Thunai is a 1976 Tamil-language action-thriller film, directed by S. P. Muthuraman and produced by P. V. Tholasiraman under his banner P. V. T. Productions. The film script was written by Panchu Arunachalam. Music was by M. S. Viswanathan. It stars Jaishankar, Jayaprabha and Rajasulochana, with S. A. Ashokan, Suruli Rajan and S. V. Ramadoss playing pivotal roles. The film was slightly inspired by the Hollywood classic Bad Day at Black Rock. This film was a Runaway hit at the box office.",Jayaprabha-Rajasulochana-S. A. Ashokan-Jaishankar,Thunive Thunai,1970s Tamil-language films-1970s action thriller films-1970s spy thriller films-Films about organised crime in India-Films directed by S. P. Muthuraman-Films scored by M. S. Viswanathan-Films with screenplays by Panchu Arunachalam-Indian action thriller films-Indian films-Indian spy thriller films-Mining in film,na,S. P. Muthuraman,na,S. P. Muthuraman,http://dbpedia.org/resource/Tamil_language
40,Sapoot,15451313,"Sapoot (transl. Worthy Son) is a 1996 Indian Hindi-language action-thriller film directed by Jagdish A. Sharma, starring Sunil Shetty, Akshay Kumar, Karishma Kapoor and Sonali Bendre. Other cast members include Kader Khan, Prem Chopra, Johnny Lever, Kiran Kumar, Avtar Gill, Mukesh Rishi, Shalini Kapoor, Jeetu Verma and Mahavir Shah. The film did average business at the box office, and its title track ‘Oye’ was a chartbuster.",Akshay Kumar-Karisma Kapoor-Sonali Bendre-Sunil Shetty,Sapoot,1990s Hindi-language films-1990s action drama films-1990s crime action films-1996 films-Films scored by Anu Malik-Indian action drama films-Indian crime action films-Indian films-Masala films,na,na,na,na,http://dbpedia.org/resource/Hindi
41,Annarth,23968034,"Annarth (transl. Disaster) is a 2002 Indian Hindi- language action-thriller film. The film stars Sanjay Dutt, Sunil Shetty, Ashutosh Rana and Preeti Jhangiani , as well as Tinnu Anand and Johnny Lever in supporting roles. The film also features the debut of Gautam Rode and the film also stars former cricketer of the Indian cricket team, Vinod Kambli.",Gautam Rode-Preeti Jhangiani-Sanjay Dutt-Sunil Shetty,Annarth,2000s Hindi-language films-2002 action thriller films-2002 films-Films scored by Anand Raj Anand-Indian action thriller films-Indian films-Indian gangster films-Masala films,na,na,na,na,Hindi
42,Eagle Eye,14090644,"Eagle Eye is a 2008 American action-thriller film directed by D. J. Caruso, written by John Glenn, Travis Adam Wright, Hillary Seitz and Dan McDermott, and stars Shia LaBeouf, Michelle Monaghan and Billy Bob Thornton. It follows two strangers who must go on the run together, after receiving a mysterious phone call from an unknown woman who uses information and communications technology to track them. The film premiered in traditional theaters and IMAX theaters on September 26, 2008 and grossed $178 million worldwide.",-Anthony Mackie-Billy Bob Thornton-Michael Chiklis-Michelle Monaghan-Rosario Dawson-Shia LaBeouf,Eagle Eye,"2000s mystery films-2008 action thriller films-2008 films-2008 science fiction films-American action thriller films-American chase films-American films-American mystery films-American science fiction action films-Cybernetted society in fiction-DreamWorks Pictures films-Drone films-English-language films-Films about Delta Force-Films about artificial intelligence-Films about computing-Films about fictional presidents of the United States-Films about security and surveillance-Films about terrorism-Films directed by D. J. Caruso-Films scored by Brian Tyler-Films set in 2009-Films set in Afghanistan-Films set in Balochistan, Pakistan-Films set in Chicago-Films set in Indianapolis-Films set in Washington, D.C.-Films shot in Chicago-IMAX films-Paramount Pictures films-Techno-thriller films-United States presidential succession in fiction-War in Afghanistan (2001–2021) films",Dariusz Wolski,D.J. Caruso,1.788E8,D.J. Caruso,English
43,Dhoom,1828869,"Dhoom (transl. Blast) is a 2004 Indian Hindi-language action-thriller film directed by Sanjay Gadhvi and written by Vijay Krishna Acharya and Aditya Chopra who also produced the film through the well known company Yash Raj Films.The film stars Abhishek Bachchan, Uday Chopra, John Abraham, Esha Deol and Rimi Sen. It is the first installment in the later famous Dhoom franchise. The cinematography was done by Nirav Shah, and the original soundtrack was composed by Pritam, while Salim-Sulaiman provided the background score for the film.","* Abhishek Bachchan              
* Uday Chopra
* John Abraham
* Esha Deol
* Rimi Sen",Dhoom,2000s Hindi-language films-2000s heist films-2004 action thriller films-2004 films-Fictional portrayals of the Maharashtra Police-Films directed by Sanjay Gadhvi-Films featuring songs by Pritam-Films set in Mumbai-Films shot in Mumbai-Indian action thriller films-Indian films-Indian heist films-Yash Raj Films films,Nirav Shah,Sanjay Gadhvi,na,Sanjay Gadhvi,Hindi
44,Taken 2,35874076,"Taken 2 is a 2012 English-language French action-thriller film directed by Olivier Megaton and starring Liam Neeson, Maggie Grace, Famke Janssen, Rade Šerbedžija, Leland Orser, Jon Gries, D.B. Sweeney and Luke Grimes. It follows Bryan Mills taking his family to Istanbul, only to be kidnapped, along with his ex-wife, by the father of one of the men he killed while saving his daughter two years prior.",Famke Janssen-Liam Neeson-Maggie Grace-Rade Šerbedžija,Taken 2,2010s chase films-2012 action thriller films-2012 films-20th Century Fox films-Albanian Mafia-American action thriller films-American films-American sequel films-English-language French films-English-language films-EuropaCorp films-Films about families-Films about kidnapping-Films directed by Olivier Megaton-Films produced by Luc Besson-Films scored by Nathaniel Méchaly-Films set in Albania-Films set in Istanbul-Films set in Los Angeles-Films set in Paris-Films shot in Istanbul-Films shot in Los Angeles-Films shot in Paris-Films shot in Turkey-Films with screenplays by Luc Besson-Films with screenplays by Robert Mark Kamen-French action thriller films-French films-French films about revenge-French sequel films-French vigilante films-Taken (franchise),na,Olivier Megaton,na,Olivier Megaton,English
45,Maanagara Kaaval,36344689,Maanagara Kaaval (transl. City Police) is a 1991 Tamil-language action-thriller film directed by M. Thiyagarajan. The film stars Vijayakanth and Suma. This is 150th film of AVM Productions. The movie was a blockbuster. It was dubbed in Telugu as City Police. The movie was based on the 1988 Malayalam movie August 1.,Senthil-Anandaraj-Lakshmi (actress)-M. N. Nambiar-Nassar (actor)-Suman Ranganathan-Vijayakanth,Maanagara Kaaval,1990s Tamil-language films-1990s political thriller films-1991 action thriller films-1991 films-Cultural depictions of Prime Ministers of India-Indian action thriller films-Indian films-Indian political thriller films,na,na,na,na,Tamil
46,The Wedding Guest (2018 film),58454641,"The Wedding Guest is a 2018 British-American action-thriller film written and directed by Michael Winterbottom. It stars Dev Patel, Radhika Apte and Jim Sarbh. It had its world premiere at the Toronto International Film Festival on September 8, 2018. It was released in the United States on March 1, 2019, by IFC Films.",Dev Patel-Jim Sarbh-Radhika Apte,The Wedding Guest,"2018 action thriller films-American action thriller films-American films-British action thriller films-British films-Films directed by Michael Winterbottom-Films set in Amritsar-Films set in Delhi-Films set in Goa-Films set in India-Films set in Jaipur-Films set in Lahore-Films set in Pakistan-Films set in Punjab, India-Films set in Punjab, Pakistan-Foreign films shot in India-IFC Films films-Stage 6 Films films",Giles Nuttgens,Michael Winterbottom,386166.0,Michael Winterbottom,English
47,Broken Arrow (1996 film),524813,"Broken Arrow is a 1996 American action-thriller film directed by John Woo, written by Graham Yost, and starring John Travolta, Christian Slater, and Samantha Mathis. The film's main themes include the theft of two American nuclear weapons, the attempts of U.S. military authorities to recover them, and the feud between Travolta and Slater's characters. The film was a commercial success despite mixed reviews.",-Bob Gunton-Christian Slater-Delroy Lindo-Frank Whaley-Howie Long-John Travolta-Samantha Mathis,Broken Arrow,1990s chase films-1990s spy films-1996 action thriller films-1996 films-20th Century Fox films-American action thriller films-American aviation films-American films-American spy films-Films about nuclear war and weapons-Films about terrorism in the United States-Films about the United States Air Force-Films directed by John Woo-Films scored by Hans Zimmer-Films set in Utah-Films shot in Montana-Neo-Western films-Rail transport films,Peter Levy (cinematographer),John Woo,na,John Woo,English
48,Northeast of Seoul,29894372,"Northeast of Seoul is a 1972 American action-thriller film directed by David Lowell Rich. It stars Anita Ekberg and John Ireland, with music by Alan Heyman.",Anita Ekberg-John Ireland (actor)-Victor Buono,Northeast of Seoul,1970s action thriller films-1972 films-American action thriller films-American films-Films directed by David Lowell Rich-Films set in South Korea-Films shot in South Korea-Golan-Globus films-Treasure hunt films,na,David Lowell Rich,na,David Lowell Rich,English
49,Police (1958 film),65932260,"Police is a 1958 Indian Hindi-language action-thriller film directed by Kalidas, produced by Deepa Khosla and Pradeep Kumar, and starring Madhubala, Pradeep Kumar and Nadira. The music of the film was composed by Hemant Kumar.",Pradeep Kumar-Madhubala,Police,1950s Hindi-language films-1958 films-Hindi-language films-Indian films,na,na,na,na,Hindi
50,A Good Day to Die Hard,34228306,"A Good Day to Die Hard is a 2013 American action-thriller film and the fifth installment in the Die Hard film series. The film was directed by John Moore and written by Skip Woods, and stars Bruce Willis as John McClane. The main plot finds McClane travelling to Russia to get his estranged son, Jack, an undercover CIA agent, out of prison. He is soon caught in the crossfire of a global terrorist plot. Alongside Willis, the film also stars Jai Courtney, Cole Hauser, Yulia Snigir and Sebastian Koch.",-Amaury Nolasco-Bruce Willis-Cole Hauser-Jai Courtney-Rasha Bukvić-Sebastian Koch-Sergei Kolesnikov-Yulia Snigir,A Good Day to Die Hard,"2013 action thriller films-2013 films-20th Century Fox films-American action thriller films-American films-American sequel films-Die Hard-English-language films-Films about families-Films about nuclear war and weapons-Films about terrorism in Europe-Films about the Central Intelligence Agency-Films directed by John Moore-Films produced by Wyck Godfrey-Films scored by Marco Beltrami-Films set in Moscow-Films set in New York City-Films set in Ukraine-Films set in Washington, D.C.-Films shot in Belgrade-Films shot in Budapest-Films with screenplays by Skip Woods-IMAX films-Russian-language films-TSG Entertainment films",Jonathan Sela,John Moore (director),3.047E8,John Moore (director),English
51,Sanctum (film),28236076,"Sanctum is a 2011 3D action-thriller film directed by Alister Grierson and written by John Garvin and Andrew Wight. It stars Richard Roxburgh, Rhys Wakefield, Alice Parkinson, Dan Wyllie, and Ioan Gruffudd. Wight also produced the film, with James Cameron as executive producer.",-Alice Parkinson-Dan Wyllie-Ioan Gruffudd-Rhys Wakefield-Richard Roxburgh,Sanctum,2010s action adventure films-2010s disaster films-2011 films-American action adventure films-American action thriller films-American disaster films-American films-Australian action adventure films-Australian action thriller films-Australian disaster films-Australian films-Caving-English-language films-FilmNation Entertainment films-Films about death-Films scored by David Hirschfelder-Films set in Papua New Guinea-Films shot at Village Roadshow Studios-Films shot in Australia-IMAX films-Relativity Media films-Survival thriller films-Universal Pictures films,na,Alister Grierson,1.086E8,Alister Grierson,English
52,Unknown (2011 film),26717073,"Unknown is a 2011 action-thriller film directed by Jaume Collet-Serra and starring Liam Neeson, Diane Kruger, January Jones, Aidan Quinn, Bruno Ganz, and Frank Langella. The film, produced by Joel Silver, Leonard Goldberg and Andrew Rona, is based on the 2003 French novel by Didier Van Cauwelaert published in English as Out of My Head which was adapted as the film's screenplay by Oliver Butcher and Stephen Cornwell. The narrative centers around a professor who wakes up from a four-day long coma and sets out to prove his identity after no one recognizes him, including his own wife, and another man claims to be him.",-Aidan Quinn-Diane Kruger-Frank Langella-January Jones-Liam Neeson,Unknown,2010s mystery thriller films-2011 action thriller films-2011 films-2011 psychological thriller films-American action thriller films-American chase films-American films-American mystery thriller films-Babelsberg Studio films-British action thriller films-British chase films-British films-British mystery thriller films-Dark Castle Entertainment films-English-language French films-English-language German films-English-language films-Films about altered memories-Films about amnesia-Films about identity theft-Films about murder-Films based on French novels-Films directed by Jaume Collet-Serra-Films produced by Joel Silver-Films scored by John Ottman-Films set in Berlin-Films shot in Berlin-French films-French mystery thriller films-German-language films-German films-German mystery thriller films-Thanksgiving in films-Warner Bros. films,na,Jaume Collet-Serra,1.357E8,Jaume Collet-Serra,English
53,Taken 2,35874076,"Taken 2 is a 2012 English-language French action-thriller film directed by Olivier Megaton and starring Liam Neeson, Maggie Grace, Famke Janssen, Rade Šerbedžija, Leland Orser, Jon Gries, D.B. Sweeney and Luke Grimes. It follows Bryan Mills taking his family to Istanbul, only to be kidnapped, along with his ex-wife, by the father of one of the men he killed while saving his daughter two years prior.",Famke Janssen-Liam Neeson-Maggie Grace-Rade Šerbedžija,Taken 2: Original Motion Picture Soundtrack,2010s chase films-2012 action thriller films-EuropaCorp films-Films directed by Olivier Megaton-Films scored by Nathaniel Méchaly-Films set in Albania-Films set in Istanbul-Films set in Paris-Films shot in Istanbul-Films shot in Los Angeles-Films shot in Turkey-Films with screenplays by Luc Besson-Films with screenplays by Robert Mark Kamen-French action thriller films-French films-French sequel films-French vigilante films-Taken (franchise),na,Olivier Megaton,na,Olivier Megaton,English
54,Maaligai,65314552,"Maaligai is an upcoming Indian Tamil-language action-thriller film Produced by Kamal Bohra and Rajesh Kumar. Story, Screenplay and Directed by Dil Sathya, Starring Andrea Jeremiah, Karthik Jayaram, Ashutosh Rana, K.S. Ravikumar and others.",Ali (actor)-Andrea Jeremiah-K.S.Ravikumar-Karthik Jayaram-Manobala,Maaligai,Films postponed due to the COVID-19 pandemic-Indian action drama films-Indian action thriller films-Indian fantasy adventure films-Indian fantasy drama films-Indian films-Masala films-Tamil-language films-Upcoming Indian films-Upcoming Tamil-language films-Upcoming films,na,na,na,na,Tamil
55,A Good Day to Die Hard,34228306,"A Good Day to Die Hard is a 2013 American action-thriller film and the fifth installment in the Die Hard film series. The film was directed by John Moore and written by Skip Woods, and stars Bruce Willis as John McClane. The main plot finds McClane travelling to Russia to get his estranged son, Jack, an undercover CIA agent, out of prison. He is soon caught in the crossfire of a global terrorist plot. Alongside Willis, the film also stars Jai Courtney, Cole Hauser, Yulia Snigir and Sebastian Koch.",-Amaury Nolasco-Bruce Willis-Cole Hauser-Jai Courtney-Rasha Bukvić-Sebastian Koch-Sergei Kolesnikov-Yulia Snigir,A Good Day to Die Hard: Original Motion Picture Soundtrack,"2013 action thriller films-2013 films-20th Century Fox films-American action thriller films-American films-American sequel films-Die Hard-English-language films-Films about families-Films about nuclear war and weapons-Films about terrorism in Europe-Films about the Central Intelligence Agency-Films directed by John Moore-Films produced by Wyck Godfrey-Films scored by Marco Beltrami-Films set in Moscow-Films set in New York City-Films set in Ukraine-Films set in Washington, D.C.-Films shot in Belgrade-Films shot in Budapest-Films with screenplays by Skip Woods-IMAX films-Russian-language films-TSG Entertainment films",Jonathan Sela,John Moore (director),3.047E8,John Moore (director),
56,The Bourne Supremacy (film),870946,"The Bourne Supremacy is a 2004 American action-thriller film featuring Robert Ludlum's Jason Bourne character. Although it takes the name of the second Bourne novel (1986), its plot is entirely different. The film was directed by Paul Greengrass from a screenplay by Tony Gilroy. It is the second installment in the Jason Bourne film series. It is preceded by The Bourne Identity (2002) and followed by The Bourne Ultimatum (2007), The Bourne Legacy (2012), and Jason Bourne (2016).",-Brian Cox-Franka Potente-Gabriel Mann-Joan Allen-Julia Stiles-Karl Urban-Matt Damon,The Bourne Supremacy,2000s spy thriller films-2004 action thriller films-2004 films-American action thriller films-American films-American films about revenge-American sequel films-American spy thriller films-Babelsberg Studio films-Bourne (film series)-English-language German films-English-language films-Films about United States Army Special Forces-Films about the Federal Security Service-Films directed by Paul Greengrass-Films produced by Frank Marshall-Films scored by John Powell-Films set in 2004-Films set in Berlin-Films set in Germany-Films set in India-Films set in Italy-Films set in Moscow-Films set in Munich-Films set in Naples-Films set in New York City-Films set in Russia-Films set in the Netherlands-Films shot in Goa-Films shot in Italy-Films shot in Moscow-Films shot in Russia-Films with screenplays by Tony Gilroy-Foreign films shot in India-German action thriller films-German films-German sequel films-The Kennedy/Marshall Company films-Universal Pictures films,Oliver Wood (cinematographer),Paul Greengrass,2.906E8,Paul Greengrass,English
57,Extraction (2020 film),58339992,"Extraction is a 2020 American action-thriller film starring Chris Hemsworth and released on Netflix. It is directed by Sam Hargrave (in his feature directorial debut) and written by Joe Russo, based on the graphic novel Ciudad by Ande Parks, Joe Russo, Anthony Russo, Fernando León González, and Eric Skillman. The film's cast also features Rudhraksh Jaiswal, Randeep Hooda, Golshifteh Farahani, Pankaj Tripathi and David Harbour, and follows a black ops mercenary who must rescue an Indian drug lord's kidnapped son in Dhaka, Bangladesh.",-Chris Hemsworth-David Harbour-Golshifteh Farahani-Pankaj Tripathi-Randeep Hooda-Rudhraksh Jaiswal,Extraction,2020 action thriller films-2020 films-2020s chase films-American action thriller films-American chase films-American films-English-language Netflix original films-English-language films-Fictional mercenaries-Films based on American comics-Films directed by Sam Hargrave-Films scored by Henry Jackman-Films set in Bangladesh-Films set in Dhaka-Films set in Western Australia-Films shot in Ahmedabad-Films shot in Bangladesh-Films shot in Dhaka-Films shot in Gujarat-Films shot in India-Films shot in Maharashtra-Films shot in Mumbai-Foreign films shot in Thailand-Live-action films based on comics-Oni Press adaptations,Newton Thomas Sigel,Sam Hargrave,na,Sam Hargrave,English
58,Force (film series),52409217,"Force is a series of Indian action-thriller films, produced by Vipul Amrutlal Shah. The first part directed by Nishikant Kamath released in 2011 and the second part directed by Abhinay Deo released in 2016. A third part of the series is in pre-production.",Genelia D'Souza-Sonakshi Sinha-John Abraham (actor)-Raj Babbar-Tahir Raj Bhasin-Vidyut Jamwal,Force series,Action film series-Fox Star Studios films-Hindi-language films-Indian film series-Viacom18 Studios films,Ayananka Bose,Abhinay Deo,na,Abhinay Deo,Hindi
59,Absolute Deception,38461562,"Absolute Deception (also known as Deception) is a 2013 Australian/Canadian international co-production action-thriller film directed by Brian Trenchard-Smith and starring Cuba Gooding Jr. and Emmanuelle Vaugier. The film was released on direct-to-DVD in the United States on June 11, 2013.",Cuba Gooding Jr.-Emmanuelle Vaugier,Absolute Deception,2013 action thriller films-Australian action adventure films-Australian action thriller films-Films set in Queensland-Sony Pictures direct-to-video films-Voltage Pictures films,na,Brian Trenchard-Smith,na,Brian Trenchard-Smith,English
